ST04,K,SMV01,SMV10,CRP,SMV20,N,ST04,ST01,PRCPC,Yield,snow,ST20,P,BDN,MON,MAP,ELV,TN,OC,PRCP,HUM,SM10,FL,CLY,ST10,WDIR,CLDC,FLMAX,LAT,SOLE,snowdepth,SND,TMAX,WSPD,FLMIN,LONG,DEW,precipprob,SMV04,SLP,WGST,SOLR,Center,T0,VIS,District,preciptype,TMIN,CEC,TEMP,SLT,UVI,SM01
20.5,13,0.388,0.435,0,0.437,21,174,20.6,79.17,7.23E-07,0,38.8,30,1.22,419.680017,1241.630005,1673,1.72,27,3.4,80,437,19.7,41,20.5,6.2,50.1,25.3,-2.6779,25.4,0,41,25.3,13,15.2,29.75785,15.6,100,0.415,1013,34.6,293.6,Mukrua,20.7,,Huye,rain,15.2,13,19.7,18,10,124.6
20.5,13,0.385,0.434,0,0.437,21,173.6,20.6,16.67,9.02E-07,0,38.5,30,1.22,419.680017,1241.630005,1673,1.72,27,0.4,78.5,437,20,41,20.5,31.6,72.7,25.7,-2.6779,24.7,0,41,25.7,13.3,14.9,29.75785,15.7,100,0.413,1012.8,41.4,285.1,Mukrua,20.8,,Huye,rain,14.9,13,20,18,10,123.9
20.5,13,0.378,0.433,0,0.437,21,173.2,20.8,20.83,9.85E-07,0,37.8,30,1.22,419.680017,1241.630005,1673,1.72,27,0.5,71.2,437,20.3,41,20.5,6.3,69.8,26.4,-2.6779,26.1,0,41,26.4,14,13.9,29.75785,14.3,100,0.411,1013.4,42.1,301.4,Mukrua,21.1,,Huye,rain,13.9,13,20.3,18,10,123.2
20.5,13,0.371,0.431,0,0.437,21,172.5,20.7,33.33,8.19E-07,0,37.1,30,1.22,419.680017,1241.630005,1673,1.72,27,1,71.9,437,20.2,41,20.5,315,55.2,25.6,-2.6779,23.4,0,41,25.6,13,13.8,29.75785,14.5,100,0.408,1014,29.2,270.6,Mukrua,20.8,,Huye,rain,13.8,13,20.2,18,10,122.4
19.5,7,0.413,0.44,0,0.413,21,176.2,19.6,4.17,6.38E-07,0,41.3,16,1.17,1174.679952,1256.199951,1468,5.02,66,0.1,74.5,413,22.5,38,19.5,32.1,42.4,28.8,-2.27529,25.4,0,37,29,18.4,16.6,29.33312,17.1,100,0.431,1018.5,32,293.6,Kigoma,19.6,9.5,Nyanza,rain,16.6,26,22.5,26,10,129.4
19.5,7,0.408,0.438,0,0.413,21,175.2,19.6,0,8.32E-07,0,40.8,16,1.17,1174.679952,1256.199951,1468,5.02,66,0,65.9,413,22.8,38,19.5,22.8,55.2,30,-2.27529,24.7,0,37,30,18.4,14.9,29.33312,15.2,0,0.428,1016.9,37.8,285.1,Kigoma,19.9,9.8,Nyanza,,14.9,26,22.8,26,10,128.3
19.5,7,0.398,0.435,0,0.413,21,173.8,19.8,0,8.54E-07,0,39.8,16,1.17,1174.679952,1256.199951,1468,5.02,66,0,59,413,23.3,38,19.5,6.4,40.5,30.1,-2.27529,26.1,0,37,31,18.4,17,29.33312,14.3,0,0.422,1019.2,31.3,301.4,Kigoma,20,9.8,Nyanza,,17,26,23.5,26,10,126.6
19.5,7,0.391,0.433,0,0.413,21,173.2,19.7,0,1.05E-06,0,39.1,16,1.17,1174.679952,1256.199951,1468,5.02,66,0,64.4,413,23,38,19.5,314.8,43.5,28.6,-2.27529,23.4,0,37,28,14.8,17,29.33312,15.5,0,0.417,1019.5,24.5,270.6,Kigoma,19.8,9.8,Nyanza,,17,26,22.9,26,10,125.2
22.2,12,0.417,0.416,0,0.361,28,166.6,22,0,1.01E-06,0,41.7,20,1.24,709.279979,1128.030029,1453,2.86,30,0,74.4,361,22.6,41,22.2,31.5,42.8,28.8,-2.221181,24.7,0,45,29,18.4,17,30.41592,17.1,0,0.418,1018.5,30.2,286.2,Sake,22.2,9.5,NGOMA,,17,15,22.6,18,10,125.3
22.2,12,0.415,0.416,0,0.361,28,166.2,22,0,1.01E-06,0,41.5,20,1.24,709.279979,1128.030029,1453,2.86,30,0,65.3,361,23.2,41,22.2,22.6,55.7,30,-2.221181,25.7,0,45,30,18.4,16,30.41592,15.4,0,0.417,1016.7,30.6,296,Sake,22.2,9.8,NGOMA,,16,15,23.2,18,10,125
