District,Center,Latitude,Longitude,Elevation,P_INF,K_INF,N_INF,Crop_inter,Yield,CEC,Clay,Bulk_density,MAP,Silt,TN,OC,Sand,MON,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,t0,soiltemp01,soiltemp04,soiltemp10,soiltemp20,soilmoisture01,soilmoisture04,soilmoisture10,soilmoisturevol01,soilmoisturevol04,soilmoisturevol10,soilmoisturevol20,
Huye,Mukrua,-2.6779,29.75785,1673,30,13,21,Bean,7.23E-07,13,41,1.22,1241.630005,18,1.72,27,41,419.680017,25.3,15.2,19.7,25.3,15.2,19.7,15.6,80,3.4,100,79.17,rain,0,0,34.6,13,6.2,1013,50.1,,293.6,25.4,10,,20.7,20.6,20.5,20.5,38.8,124.6,174,437,0.388,0.415,0.435,0.437
Huye,Mukrua,-2.6779,29.75785,1673,30,13,21,Bean,9.02E-07,13,41,1.22,1241.630005,18,1.72,27,41,419.680017,25.7,14.9,20,25.7,14.9,20,15.7,78.5,0.4,100,16.67,rain,0,0,41.4,13.3,31.6,1012.8,72.7,,285.1,24.7,10,,20.8,20.6,20.5,20.5,38.5,123.9,173.6,437,0.385,0.413,0.434,0.437
Huye,Mukrua,-2.6779,29.75785,1673,30,13,21,Bean,9.85E-07,13,41,1.22,1241.630005,18,1.72,27,41,419.680017,26.4,13.9,20.3,26.4,13.9,20.3,14.3,71.2,0.5,100,20.83,rain,0,0,42.1,14,6.3,1013.4,69.8,,301.4,26.1,10,,21.1,20.8,20.5,20.5,37.8,123.2,173.2,437,0.378,0.411,0.433,0.437
Huye,Mukrua,-2.6779,29.75785,1673,30,13,21,Bean,8.19E-07,13,41,1.22,1241.630005,18,1.72,27,41,419.680017,25.6,13.8,20.2,25.6,13.8,20.2,14.5,71.9,1,100,33.33,rain,0,0,29.2,13,315,1014,55.2,,270.6,23.4,10,,20.8,20.7,20.5,20.5,37.1,122.4,172.5,437,0.371,0.408,0.431,0.437
Nyanza,Kigoma,-2.27529,29.33312,1468,16,7,21,Bean,6.38E-07,26,38,1.17,1256.199951,26,5.02,66,37,1174.679952,29,16.6,22.5,28.8,16.6,22.5,17.1,74.5,0.1,100,4.17,rain,0,0,32,18.4,32.1,1018.5,42.4,9.5,293.6,25.4,10,,19.6,19.6,19.5,19.5,41.3,129.4,176.2,413,0.413,0.431,0.44,0.413
Nyanza,Kigoma,-2.27529,29.33312,1468,16,7,21,Bean,8.32E-07,26,38,1.17,1256.199951,26,5.02,66,37,1174.679952,30,14.9,22.8,30,14.9,22.8,15.2,65.9,0,0,0,,0,0,37.8,18.4,22.8,1016.9,55.2,9.8,285.1,24.7,10,,19.9,19.6,19.5,19.5,40.8,128.3,175.2,413,0.408,0.428,0.438,0.413
Nyanza,Kigoma,-2.27529,29.33312,1468,16,7,21,Bean,8.54E-07,26,38,1.17,1256.199951,26,5.02,66,37,1174.679952,31,17,23.5,30.1,17,23.3,14.3,59,0,0,0,,0,0,31.3,18.4,6.4,1019.2,40.5,9.8,301.4,26.1,10,,20,19.8,19.5,19.5,39.8,126.6,173.8,413,0.398,0.422,0.435,0.413
Nyanza,Kigoma,-2.27529,29.33312,1468,16,7,21,Bean,1.05E-06,26,38,1.17,1256.199951,26,5.02,66,37,1174.679952,28,17,22.9,28.6,17,23,15.5,64.4,0,0,0,,0,0,24.5,14.8,314.8,1019.5,43.5,9.8,270.6,23.4,10,,19.8,19.7,19.5,19.5,39.1,125.2,173.2,413,0.391,0.417,0.433,0.413
NGOMA,Sake,-2.221181,30.41592,1453,20,12,28,Bean,1.01E-06,15,41,1.24,1128.030029,18,2.86,30,45,709.279979,29,17,22.6,28.8,17,22.6,17.1,74.4,0,0,0,,0,0,30.2,18.4,31.5,1018.5,42.8,9.5,286.2,24.7,10,,22.2,22,22.2,22.2,41.7,125.3,166.6,361,0.417,0.418,0.416,0.361
NGOMA,Sake,-2.221181,30.41592,1453,20,12,28,Bean,1.01E-06,15,41,1.24,1128.030029,18,2.86,30,45,709.279979,30,16,23.2,30,16,23.2,15.4,65.3,0,0,0,,0,0,30.6,18.4,22.6,1016.7,55.7,9.8,296,25.7,10,,22.2,22,22.2,22.2,41.5,125,166.2,361,0.415,0.417,0.416,0.361
