No Features,NO_FE_MSE,HMF_MSE,MI_MSE,FR_MSE,COST_MSE,,NO_FE_R²,HMF_R²,MI_R²,FR_R²,COST_R²
1,4.69E-12,4.25E-12,4.62E-12,4.25E-12,2.54E-12,,0.609589438,0.64576214,0.614880886,0.64576214,0.788757414
2,1.97E-12,2.76E-12,4.51E-12,2.76E-12,2.48E-12,,0.836134054,0.770300726,0.62432695,0.770300726,0.793307967
3,2.51E-12,1.48E-12,4.54E-12,2.53E-12,2.47E-12,,0.790633033,0.876987589,0.621667694,0.788955455,0.794004202
4,3.02E-12,1.47E-12,4.53E-12,2.53E-12,1.02E-12,,0.748243388,0.87756945,0.622576762,0.789394127,0.914871297
5,1.60E-12,1.51E-12,1.01E-12,2.52E-12,1.25E-12,,0.866872884,0.873865387,0.916160444,0.789953008,0.895579019
6,1.50E-12,1.06E-12,1.08E-12,1.53E-12,1.48E-12,,0.874927033,0.911843601,0.910410516,0.872521649,0.876407254
7,1.57E-12,1.07E-12,9.98E-13,1.55E-12,1.47E-12,,0.868910644,0.910497775,0.916879916,0.870735902,0.877152188
8,1.67E-12,1.07E-12,1.04E-12,1.52E-12,1.62E-12,,0.8604993,0.910615427,0.913566127,0.873488143,0.865050137
9,1.54E-12,1.10E-12,1.04E-12,1.54E-12,1.68E-12,,0.871426898,0.908238038,0.913483825,0.871465826,0.85997748
10,1.54E-12,1.12E-12,1.04E-12,1.55E-12,1.66E-12,,0.871649213,0.906534892,0.913414032,0.870925422,0.861735902
11,1.55E-12,1.11E-12,1.04E-12,1.51E-12,1.67E-12,,0.871158777,0.90735596,0.91376255,0.873926056,0.860946098
12,1.47E-12,1.10E-12,1.05E-12,1.51E-12,1.68E-12,,0.877944287,0.90872275,0.912208968,0.874113795,0.859770204
13,1.51E-12,1.09E-12,1.05E-12,1.46E-12,1.64E-12,,0.874501677,0.908855618,0.91293634,0.878458974,0.863477072
14,1.32E-12,1.09E-12,1.06E-12,1.54E-12,1.66E-12,,0.889691767,0.909076315,0.911651952,0.871606188,0.861785087
15,1.31E-12,1.08E-12,1.17E-12,1.64E-12,1.57E-12,,0.890814239,0.909754011,0.902536859,0.863624423,0.869439058
16,1.31E-12,1.08E-12,1.27E-12,1.60E-12,1.51E-12,,0.891127541,0.910094838,0.894590721,0.866821442,0.874251772
17,1.26E-12,1.07E-12,1.47E-12,1.61E-12,1.58E-12,,0.895204869,0.910760723,0.877475103,0.865603358,0.868540554
18,1.26E-12,1.33E-12,1.48E-12,1.61E-12,1.53E-12,,0.895222751,0.88901671,0.876531787,0.866147992,0.872904767
19,1.32E-12,1.43E-12,1.35E-12,1.42E-12,1.36E-12,,0.890435561,0.881067502,0.887660902,0.88137663,0.887112817
20,1.25E-12,1.44E-12,1.38E-12,1.46E-12,1.36E-12,,0.89579408,0.880064742,0.885400573,0.878278118,0.887012086
21,1.40E-12,1.38E-12,1.42E-12,1.42E-12,1.36E-12,,0.883725368,0.885371949,0.881610149,0.881473219,0.886917743
22,1.34E-12,1.42E-12,1.39E-12,1.55E-12,1.35E-12,,0.88822919,0.881550141,0.884208885,0.870701608,0.887893646
23,1.32E-12,1.37E-12,1.43E-12,1.59E-12,1.29E-12,,0.889791616,0.885609213,0.881264908,0.867172658,0.89227153
24,1.39E-12,1.38E-12,1.42E-12,1.59E-12,1.29E-12,,0.883815083,0.885019178,0.881919586,0.867915014,0.892960999
25,1.34E-12,1.38E-12,1.38E-12,1.54E-12,1.26E-12,,0.888202199,0.885140854,0.885425089,0.871724154,0.894780519
26,1.28E-12,1.33E-12,1.30E-12,1.60E-12,1.30E-12,,0.893148121,0.889611709,0.891322688,0.866987661,0.891704363
27,1.29E-12,1.32E-12,1.31E-12,1.67E-12,1.28E-12,,0.892195469,0.890369918,0.890854396,0.86126675,0.893352093
28,1.30E-12,1.25E-12,1.34E-12,1.67E-12,1.16E-12,,0.892011722,0.895769574,0.888350922,0.861053316,0.903300714
29,1.27E-12,1.25E-12,1.24E-12,1.65E-12,1.20E-12,,0.894243769,0.895599494,0.896419875,0.862558116,0.900457553
30,1.36E-12,1.22E-12,1.28E-12,1.68E-12,1.19E-12,,0.886571142,0.89866623,0.89375722,0.860252074,0.901120778
