District,Center,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,soiltemp01,soiltemp04,soiltemp10,soiltemp20,soilmoisture01,soilmoisture04,soilmoisture10,soilmoisturevol01,soilmoisturevol04,soilmoisturevol10,soilmoisturevol20,
Huye,Mukrua,25.3,15.2,19.7,25.3,15.2,19.7,15.6,80,3.4,100,79.17,rain,0,0,34.6,13,6.2,1013,50.1,,293.6,25.4,10,20.7,20.6,20.5,20.5,38.8,124.6,174,437,0.388,0.415,0.435,0.437
Huye,Mukrua,25.7,14.9,20,25.7,14.9,20,15.7,78.5,0.4,100,16.67,rain,0,0,41.4,13.3,31.6,1012.8,72.7,,285.1,24.7,10,20.8,20.6,20.5,20.5,38.5,123.9,173.6,437,0.385,0.413,0.434,0.437
Huye,Mukrua,26.4,13.9,20.3,26.4,13.9,20.3,14.3,71.2,0.5,100,20.83,rain,0,0,42.1,14,6.3,1013.4,69.8,,301.4,26.1,10,21.1,20.8,20.5,20.5,37.8,123.2,173.2,437,0.378,0.411,0.433,0.437
Huye,Mukrua,25.6,13.8,20.2,25.6,13.8,20.2,14.5,71.9,1,100,33.33,rain,0,0,29.2,13,315,1014,55.2,,270.6,23.4,10,20.8,20.7,20.5,20.5,37.1,122.4,172.5,437,0.371,0.408,0.431,0.437
Nyanza,Kigoma,29,16.6,22.5,28.8,16.6,22.5,17.1,74.5,0.1,100,4.17,rain,0,0,32,18.4,32.1,1018.5,42.4,9.5,293.6,25.4,10,19.6,19.6,19.5,19.5,41.3,129.4,176.2,413,0.413,0.431,0.44,0.413
Nyanza,Kigoma,30,14.9,22.8,30,14.9,22.8,15.2,65.9,0,0,0,,0,0,37.8,18.4,22.8,1016.9,55.2,9.8,285.1,24.7,10,19.9,19.6,19.5,19.5,40.8,128.3,175.2,413,0.408,0.428,0.438,0.413
Nyanza,Kigoma,31,17,23.5,30.1,17,23.3,14.3,59,0,0,0,,0,0,31.3,18.4,6.4,1019.2,40.5,9.8,301.4,26.1,10,20,19.8,19.5,19.5,39.8,126.6,173.8,413,0.398,0.422,0.435,0.413
Nyanza,Kigoma,28,17,22.9,28.6,17,23,15.5,64.4,0,0,0,,0,0,24.5,14.8,314.8,1019.5,43.5,9.8,270.6,23.4,10,19.8,19.7,19.5,19.5,39.1,125.2,173.2,413,0.391,0.417,0.433,0.413
NGOMA,Sake,29,17,22.6,28.8,17,22.6,17.1,74.4,0,0,0,,0,0,30.2,18.4,31.5,1018.5,42.8,9.5,286.2,24.7,10,22.2,22,22.2,22.2,41.7,125.3,166.6,361,0.417,0.418,0.416,0.361
NGOMA,Sake,30,16,23.2,30,16,23.2,15.4,65.3,0,0,0,,0,0,30.6,18.4,22.6,1016.7,55.7,9.8,296,25.7,10,22.2,22,22.2,22.2,41.5,125,166.2,361,0.415,0.417,0.416,0.361
Bugesera,Mareba,29,16.6,22.5,28.8,16.6,22.5,17.1,74.5,0.1,100,4.17,rain,0,0,28.8,18.4,32.1,1018.5,42.4,9.5,293.6,25.4,10,21,21,20.9,20.9,41.3,130.5,180.9,448,0.413,0.435,0.452,0.448
Bugesera,Mareba,30,14.9,22.8,30,14.9,22.8,15.2,65.9,0,0,0,,0,0,34.6,18.4,22.8,1016.8,55.3,9.8,285.1,24.7,10,21.1,20.9,20.9,20.9,40.7,129.3,179.6,447.5,0.407,0.431,0.449,0.447
Bugesera,Mareba,31,17,23.5,30.1,17,23.3,14.3,59,0,0,0,,0,0,33.8,18.4,6.4,1019.2,40.5,9.8,301.4,26.1,10,21.4,21.1,20.9,20.9,39.8,127.7,178.2,447,0.398,0.426,0.446,0.447
Bugesera,Mareba,28,17,22.9,28.6,17,23,15.5,64.4,0,0,0,,0,0,20.5,14.8,314.8,1019.5,43.5,9.8,270.6,23.4,10,21,20.9,20.9,20.9,39.1,126.4,177.6,447,0.391,0.421,0.444,0.447
Bugesera,Mareba,29.1,15.5,23.3,28.8,15.5,23.2,15,62.8,0.3,100,4.17,rain,0,0,42.5,13,346.3,1018.2,60.1,9.6,183.7,15.9,7,21.2,21,20.9,20.9,38.4,125.5,176.8,447,0.384,0.418,0.442,0.447
NGOMA,Sake,31,17,23.5,30.1,17,23.3,14.3,59,0,0,0,,0,0,33.5,18.4,6.5,1019.2,43.3,9.8,304.5,26.4,10,22.3,22.1,22.2,22.2,40.4,123.9,165.6,361,0.404,0.413,0.414,0.361
NGOMA,Sake,28,17,22.9,28.6,17,23,15.5,64.4,0,0,0,,0,0,22.7,14.8,315.7,1019.5,45.5,9.8,285.5,24.6,10,22,21.9,22.2,22.2,39.5,122.7,164.8,361,0.395,0.409,0.412,0.361
NGOMA,Sake,29.1,15.1,23.2,28.8,15.1,23.2,15.1,63.1,0.1,100,4.17,rain,0,0,42.5,13,344.9,1018.2,60.2,9.6,268,23.2,9,22.2,22,22.2,22.2,38.7,121.6,164.2,361,0.387,0.405,0.411,0.361
NGOMA,Sake,26,18.9,20.6,26,18.9,20.6,17.3,82.6,0.7,100,4.17,rain,0,0,32.4,100.1,328.2,1018.7,76.1,8.7,224.7,19.5,8,22.1,22.1,22.2,22.2,38.7,120.9,163.8,361,0.387,0.403,0.41,0.361
